Parent 1,Parent 2,Year,Coyote ID,Sample Date,Sex,Coyote Location,Sample Type (not complete),Sample Status,"Are these 
the parents?",,
845,846,2014,836,5/30/14,m,Medieval Times,"purple top, hair, pit",Genotyped,,,
,,,837,5/30/14,m,Medieval Times,"purple top, hair, pit",Genotyped,,,
,,,838,5/30/14,f,Medieval Times,"hair, pit tag",Pupping #3 2014 bag,,,
,,,839,5/30/14,f,Medieval Times,"hair, pit tag",Pupping #3 2014 bag,,,
,,,840,5/30/14,f,Medieval Times,"hair, pit tag",Pupping #3 2014 bag,,,
,,2015,924,5/5/15,f,Medieval Times,hair,Pupping 2015 bag,,,
,,,925,5/5/15,f,Medieval Times,hair,Pupping 2015 bag,,,
,,,926,5/5/15,f,Medieval Times,hair,Pupping 2015 bag,,,
,,,927,5/5/15,f,Medieval Times,hair,Pupping 2015 bag,,,
,,,928,5/5/15,f,Medieval Times,hair,Pupping 2015 bag,,,
,,,929,5/5/15,m,Medieval Times,hair,Pupping 2015 bag,,,
,,,930,5/5/15,m,Medieval Times,hair,Pupping 2015 bag,,,
673,502,2014,,,,,,,,,
,,,780,4/9/15,m,PC,blood,Genotyped,,,
,,,781,5/12/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,782,5/12/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,783,12/10/14,m,PC,blood,Genotyped,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,784,5/12/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,,785,5/12/14,m,PC,"hair, pit tag",Pupping #1 2014 bag,,,
,,2015,919,5/4/15,m,Poplar Creek,"hair, blood",Genotyped,,,
,,,920,5/4/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,921,5/4/15,m,Poplar Creek,"hair, blood",Genotyped,,,
,,,922,5/4/15,f,Poplar Creek,"hair, blood",Genotyped,,,
,,,923,5/4/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
572,575,2012,639,5/18/12,m,Busse,blood,MMWF - P2012,,,
,,,640,5/18/12,m,Busse,hair,MMWF - P2012,,,
,,,641,5/18/12,m,Busse,hair,MMWF - P2012,,,
,,,642,5/18/12,f,Busse,hair,MMWF - P2012,,,
,,,643,5/18/12,m,Busse,hair,MMWF - P2012,,,
,,,644,5/18/12,m,Busse,hair,MMWF - P2012,,,
,,,645,5/18/12,f,Busse,hair,MMWF - P2012,,,
,,2014,823,5/23/14,f,Busse,"purple top, hair, pit",Genotyped,,,
,,,824,5/23/14,m,Busse,"purple top, hair, pit",Genotyped,,,
,,,825,5/23/14,m,Busse,"hair, pit",Pupping #2 2014 bag,,,
,,,826,5/23/14,m,Busse,"purple top, hair, pit",Extracted,,,
,,,827,5/23/14,f,Busse,"purple top, hair, pit",Extracted,,,
,,,828,5/23/14,m,Busse,"purple top, hair, pit",Genotyped,,,
,,,829,5/23/14,f,Busse,"purple top, hair, pit",Genotyped,,,
516 OR 177,,,715,5/7/2013,f,Poplar Creek,blood,Genotyped,??,,
,,,716,5/7/2013,f,Poplar Creek,blood,Genotyped,??,,
4,10,2000,21,,f,PC,,Genotyped,?,,
,,2001,30,,m,PC,,Genotyped,?,,
,,2002,59,,F,PC,,Genotyped,,,
,,,60,,F,PC,,Genotyped,,,
,,,61,,F,PC,,Genotyped,,,
,,,62,,M,PC,,Genotyped,,,
,,,63,,F,PC,,Genotyped,,,
390??,462,2011,532,5/11/11,m,HW,hair,MMWF - P2011,,,
390 left during season,,,533,5/11/11,f,HW,hair,MMWF - P2011,,,
more likely 167,,,534,5/11/11 & 3/7/2012,f,HW,"clot, hair, purple top",Genotyped,,,
,,,535,5/11/2011 & 11/4/2014,f,HW,"hair, tongue",MMWF - P2011,,,
390,462??,2012,646,5/21/12,m,Northbrook,hair,MMWF - P2012,,,
,,,647,5/21/12,m,Northbrook,hair,MMWF - P2012,,,
,,,648,5/21/12,f,Northbrook,hair,MMWF - P2012,,,
,,,649,5/21/12,f,Northbrook,hair,MMWF - P2012,,,
349,678,2014,812,5/22/14,M,Poplar Creek,hair,Pupping #2 2014 bag,,,
,,,813,5/22/14,M,Poplar Creek,hair,Pupping #2 2014 bag,,,
,,,814,5/22/14,F,Poplar Creek,hair,Pupping #2 2014 bag,,,
,,,815,5/22/14,M,Poplar Creek,hair,Pupping #2 2014 bag,,,
,,,816,5/22/14,M,Poplar Creek,hair,Pupping #2 2014 bag,,,
,,2015,949,5/12/15,m,PC,"hair, blood",Pupping 2015 bag,,,
,,,950,5/12/15,m,PC,"hair, blood",Pupping 2015 bag,,,
,,,951,5/12/15,m,PC,hair,Pupping 2015 bag,,,
,,,952,5/12/15,m,PC,"hair, blood",Pupping 2015 bag,,,
338,370,2011,536,5/13/11,f,CT,hair,,,,
,,,537,5/13/11,m,CT,hair,,,,
,,,538,5/13/11,m,CT,hair,,,,
,,,539,5/13/11,m,CT,blood,Genotyped,,,
,,,540,5/16/11 & 3/6/2012,m,HW,"clot, purple top",Genotyped,,,
,,,541,5/13/11,f,CT,blood,Genotyped,,,
,,,542,5/13/11,f,CT,blood,Genotyped,,,
,,,543,5/13/11,m,CT,clot & purple top,Genotyped,,,
,,,544,5/13/11,m,CT,blood,Genotyped,,,
,,,545,5/13/11,m,CT,blood,Genotyped,,,
,,2013,747,2/20/14,M,CT,clot & purple top,Genotyped,,pup? when caught in 2014,
,,2012,617,5/10/12,m,Crabtree,hair,MMWF - D Bag,,,
,,,618,5/10/12,m,Crabtree,hair,,,,
,,,619,5/10/12,f,Crabtree,hair,,,,
,,2013,734,5/24/2013,m,Crabtree,blood,Genotyped,,,
,,,735,5/24/2013,f,Crabtree,hair,Extraction,,,
32,,2000,76,,f,Busse,,Genotyped,?,,
,,,80,,m,Busse,,Genotyped,?,,
167,,2010,488,6/9/2010 & 4/5/11,f,HW,clot & purple top,Genotyped,?,,
,,,489,6/9/10,m,HW,blood,Extracted,,,
,,,490,6/9/10,m,HW,clot,Extracted,,,
1,115,2002,81,,f,WGN,,Genotyped,?,,
,,,82,,m,WGN,,Genotyped,?,,
,,,85,,m,WGN,,Genotyped,?,,
,,,86,,m,WGN,,Genotyped,?,,
,,adult when caught,111,,f,HW,,Genotyped,?,,
,,2003?,116,,m,WGN,"""T 5""",,?,yearling when caught in 2004,
,,2002?,122,,F,WGN,,Genotyped,?,subadult in 2004 when caught,
,,2004,145,,m,WGN,hair,Genotyped,,,
,,,146,5/26/04,f,WGN,hair,missing sample,,,
,,,147,,m,WGN,hair,Genotyped,,,
,,,148,,f,WGN,hair,Genotyped,,,
,,,149,,f,WGN,hair,missing sample,,,
,,,150,,f,WGN,hair,Genotyped,,,
,,,151,,f,WGN,hair,Genotyped,,,
,,2004,233,11/17/05,f,PC,purple top,Genotyped,?,subadult in 2004 when caught,
,,2005,220,,M,Busse,purple top,Genotyped,?,2 possible 2005 litters,
,,,221,,m,Busse,blood,Genotyped,?,,
,,,222,,F,Busse,blood,Genotyped,?,,
,,,223,,m,Busse,blood,Genotyped,?,caught twice,
,,,224,,f,Busse,blood,Genotyped,?,,
,,,225,,m,Busse,blood,Genotyped,?,,
,,2005,226,6/3/05,M,WGN,,Genotyped,,,
,,,227,6/3/05,m,WGN,Blood Clots,Genotyped,,,
,,,228,,f,,clot,missing sample,,,
,,2006,263,,f,WGN,,Genotyped,,,
,,,264,,m,WGN,,Genotyped,,,
,,,265,,m,WGN,,Genotyped,,,
,,,266,12/21/09,m,WGN,Liver Clips,Genotyped,,,
,,2007,298,4/17/08,f,SVNC,clots,Genotyped,,,
,,,299,,m,SVNC,,No sample,,,
,,,300,5/25/07,f,SVNC,clots,Genotyped,,,
,,,301,,f,SVNC,,No sample,,,
,,,302,,m,SVNC,,No sample,,,
,,2009,379,5/18/09,m,SVNC,Clots,Extracted,,,
,,,380,5/18/09,m,PW,hair,,,,
,,,381,5/18/09,m,PW,hair,,,,
,,,382,5/18/09,m,PW,hair,,,,
,,,383,5/18/09,m,PW,hair,,,,
,,2010,487,6/7/10,m,SVNC,clot,Genotyped,,,
"DIFFERENT 
FEMALE",115,2011,566,6/23/11,,M's Marsh,blood clot,Genotyped,,,
861,,2015,912,5/4/15,m,Poplar Creek,"hair, blood",Pupping 2015 bag,,,
,,,913,5/4/15,m,Poplar Creek,"hair, blood",Pupping 2015 bag,,,
,,,914,5/4/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
,,,915,5/4/15,f,Poplar Creek,hair,Pupping 2015 bag,,,
,,,916,5/4/15,f,Poplar Creek,"hair, blood",Pupping 2015 bag,,,
,,,917,5/4/15,f,Poplar Creek,"hair, blood",Pupping 2015 bag,,,
,,,918,5/4/15,m,Poplar Creek,hair,Pupping 2015 bag,,,
855,,2015,886,4/29/15,m,Chicago,"hair, blood",Pupping 2015 bag,,,
,,,887,4/29/15,f,Chicago,hair,Pupping 2015 bag,,,
